seed_hex               ,key_hex                
C4 9F 7E A4 A6 E9 82 D2,03 62 DB 42 4D 35 C2 5F
7A 0A 62 24 2C 45 B0 31,54 1E 5E 32 25 71 08 A1
84 2B F7 7C 9E D2 59 CC,DD 5B C2 95 52 1C B0 D5
A9 96 30 7D C9 23 5B 65,77 B1 29 22 D5 FB 28 BC
E2 E5 B5 C3 E1 6D 3A F2,68 6F 89 10 FE F8 49 31
B7 06 BF A3 FE 9A 8F 33,77 30 5C 36 A3 7D 66 8B
C7 4F 36 FB 5B 4D E3 A4,55 AD ED 10 24 AA B6 DC
38 3B 7F E0 BB C2 4E E0,41 8B AA 11 4C EF 6C 61
89 FA DC 63 BB C4 F1 18,F6 83 27 D5 86 E5 74 80
2D EA BB 88 19 DF E2 01,A0 EC 6B 3A F4 15 1D 86
FC 70 45 09 26 0A 12 39,67 8F 7C AD 88 EB C8 F8
E2 C6 E2 98 FF B9 30 3B,6D DF 54 F7 58 D7 76 65
2E D4 8B CF C2 CD 89 E2,AB 46 4E 59 A6 0D 4D EC
AE DD 24 5B C0 DC 18 7A,F9 09 22 0B 9A 9C F7 45
B3 5A F4 9F DB BE F2 E7,F3 E2 0A 83 37 1C D5 2F
78 4B 3D FF BD 8A F2 3F,3C 45 EF B5 A1 5D B5 A3
F1 FE C4 59 9A 59 F9 13,72 D8 67 AA 45 8E 88 FA
20 91 6B A1 E2 9A 3C 2E,31 96 F6 B5 CA 80 B0 2E
EC 0A 60 09 70 BE 2F 1C,90 C9 2C DC 79 6C 6D BC
FB BC 5A DF 49 ED AF 87,8B 42 A6 BF 11 A9 40 76
AC 2F DE 33 34 DD D1 5E,25 7B 44 44 72 81 CF EA
6C 7F D5 C9 7B F3 E2 6B,E6 97 01 A3 B7 76 8E 09
93 EF 98 89 78 50 95 A1,CE EF DF A9 19 E9 12 00
7B A2 3E 90 67 3C BF E6,EC BF 74 B3 EE B8 A2 71
B0 7E BE 69 6A E6 83 F1,54 E4 9B 6D CE AD 8A 41
20 ED A9 0A 76 91 59 E2,16 DD 0E 90 DC 48 75 FC
BB D5 4C CC DB 36 94 E9,65 0C 71 9E FA C1 F9 AD
42 8C 3A 5D 3C 04 82 4B,C6 4B E6 44 CE BF C9 E7
57 AA B0 F8 44 09 BE D3,39 2B D9 67 89 93 7B 22
A4 A1 12 4A B7 C4 E4 DB,30 B9 87 A7 20 F4 4E F4
A0 0D 4B DF 04 B0 2D C7,9B 73 C1 38 41 FD 11 59
F1 F2 E4 1E C9 BE 2E 64,15 B5 9F 01 89 04 F5 EE
F9 75 F1 60 C0 39 F1 69,58 D7 98 E4 8D 38 E1 0C
44 87 73 25 E2 A9 2B 39,7C 26 52 50 E0 AA 92 53
6A B9 EB 79 AD F8 0E 88,09 A6 DB 0C D3 BC CE 4B
1E 67 B3 81 9C 4E 9C 01,A9 48 A5 2D 96 EC C7 71
AF EA 1B 7F A4 53 64 EB,F5 75 13 9A DF 49 1D 10
21 8B 2E 6E B0 B7 B0 DA,63 4A 34 A0 53 70 06 57
8F CE C2 52 75 3B 24 02,97 C3 2A 10 06 1B FA 26
40 1E F7 15 96 54 1F AC,3D FE 69 3C 70 28 CA DA
C4 7A F0 7B C2 F9 EA 1A,8C 00 DA A3 82 19 19 74
0F 9B A3 DA 73 3B 4F 9C,AF B9 36 23 DF F6 B7 32
78 9A 59 09 ED F0 A3 FC,9E 66 9D EA F2 03 23 80
9C 3B 1C B3 E0 D0 4F 26,B0 45 98 07 2E AB 38 E9
78 95 6A 81 2C E5 70 00,AC 52 5A A3 54 B1 88 63
AD 6B 9E 76 47 22 9A D0,2E D2 AD A5 7B D4 29 FD
56 37 99 C5 E1 58 E3 05,B8 F3 C3 C7 5C 2E 75 62
B4 7E 0D 04 B1 1C 13 6C,C7 EB F9 7A BA 2D 1C 79
5F D3 D9 C6 06 52 F6 53,BF 05 3A 64 57 E5 E7 EC
6A 15 07 A0 56 50 4F 5A,B1 0E BA F0 A8 52 ED 5B
AB 41 6C 24 CC EE 96 D2,EF 9C C0 B4 76 9C 05 E3
89 E3 5F C4 16 B4 C9 A0,DE B2 74 7E E7 03 20 3A
BC 54 20 C4 83 F5 39 FC,B2 F7 B2 A3 B4 83 C0 A8
B2 D4 F3 84 AA CE A7 6A,B5 DD A0 59 B7 F1 8A 07
42 4F A3 62 9F CF 66 6A,C1 F1 5B 6D EF F7 FB 9E
EC FC A3 EC 5C 23 6D 73,85 64 C7 C7 51 AD 38 9A
5A 11 56 6C 86 9F 9D 0C,69 6F 33 78 71 1F C5 BF
FB 0C 22 F9 76 8E 48 42,AF C0 B3 09 91 58 C3 3F
8F 89 4F BB E9 DB 36 87,E3 7C 01 32 23 65 86 FB
C2 72 AF C7 D8 7E 7D 6A,B1 18 5F 79 6A 53 E8 31
0F 8E 78 D2 70 B9 E2 FC,76 54 3A 21 AE 8A 22 F9
9A CD 02 EC 6D 5F 2B 42,8C EE 39 0E 98 B2 9E 7E
70 7B 13 26 68 A7 4B 25,47 EC 5A 3A B4 13 02 4D
EE D1 97 68 02 19 19 8A,10 65 C6 B8 07 B6 CA 5B
A0 C2 BF 24 86 4D F7 1F,70 33 E8 87 86 39 4B 14
8F D5 FE 3C CB 48 4B CB,A1 49 84 71 8F 3B 59 16
B3 C6 05 E7 7B 7B 9E 10,82 37 40 7F 77 2C 6C BC
3F 5F 46 89 83 A7 0D 85,A2 22 FF 9C 32 F3 D0 1E
26 56 0E 45 68 8D 4E 9C,FB A0 38 D0 B7 81 C1 30
7E 01 BE 38 65 AA 49 D2,A5 35 AB 6F 2B BB 94 86
EE 72 02 2D 4E AD 44 8C,1A 03 35 E6 96 C6 A6 F7
57 53 3A 95 24 6A 18 1B,ED 24 DA E3 D1 57 F1 71
34 67 95 0F 95 41 32 CB,4D 33 36 8A 62 FE F0 F4
27 01 48 2B F2 E9 57 AE,AE E8 E1 D7 5A 3E 33 F8
F6 74 79 7E 83 BC 9B E0,90 E3 B0 59 4E A4 6D F4
37 B8 C4 BA 60 CD 81 92,ED A6 C7 9C E0 CE 00 73
1D 09 CA CB 31 D2 AB 1C,B1 D8 AB 15 7A 25 CC B8
CC 79 5A EB 25 E5 A9 41,AE B4 A4 8E B7 23 E9 6B
63 6D 94 6D 89 9C EF 98,0C 2D F1 F2 05 3E 7D 08
11 11 66 9A 9F 74 D0 7D,02 14 84 CB 6C 9B FD C7
F0 3B C5 1F 9C 4D B4 B6,CD 78 D6 AC 05 28 B5 C3
01 EA 17 52 1F B0 19 FC,53 AE 15 39 B4 E2 48 DB
39 F7 99 DF F7 49 19 0A,9B 24 6F A6 61 E8 F4 A2
0F 97 2F AF 90 B9 D7 1E,DA 76 97 CB 1D D8 8E 21
68 AC 3E E7 5B 14 31 60,AF A3 0F C0 46 DE 76 32
9D 90 6C DA 15 29 40 B6,45 2B D7 F2 5D EB FE 44
0B 02 4B 79 F1 F6 C6 20,DD ED 2D B1 98 B4 0B 3B
A3 A0 FD 99 7C 6D 69 AC,32 7F 29 24 4E 2C 47 9C
67 4D 2B D9 E4 00 1C F2,97 A3 75 1F 7E 64 78 37
C7 FF 34 B1 10 73 E1 15,47 EC F7 58 4D AD 80 81
22 B5 12 30 D7 D5 15 47,B0 9F E6 FA 23 B3 0F 64
CA E5 CB 8A 01 C6 02 5E,5C F5 98 06 D4 CC 86 0C
