#TC_ID/PC_ID , Testcase_Description, Service_ID, SubService_ID(DID), Expected_Response_Data, Write_Data, Addressing, Format, Status_Mask, Communication_Type, controltype
ECU_SEN_02 , Input Output Record Local Identifier #2(Bit Data),0x22,0xBE03,nan,nan,Physical,Hex,nan,nan,nan
ECU_DRV_15 , Supported Input Output Local Identifier A(X) B(X) C(O) D(O),0x2F,0xF010,nan,nan,Physical,Hex,nan,nan,0x02
ECU_DRV_01 , START AMBER LED 1s ON 1s Off 5회 반복   in IGN1 ON,0x2F,0xF011,nan,0x03,Physical,Hex,nan,nan,0x03
ECU_DRV_01 , STOP  AMBER LED 1s ON  1s Off 5회 반복   in IGN1 ON,0x2F,0xF011,nan,nan,Physical,Hex,nan,nan,0x00
ECU_DRV_02 , START  GREEN LED  1s ON 1s Off 5회 반복   in IGN1 ON ,0x2F,0xF012,nan,0x03,Physical,Hex,nan,nan,0x03
ECU_DRV_02 , STOP  GREEN LED  1s ON  1s Off 5회 반복   in IGN1 ON,0x2F,0xF012,nan,nan,Physical,Hex,nan,nan,0x00
ECU_DRV_03 , START  FAN ON  5s동안 FAN Duty 50% 동작,0x2F,0xF013,nan,0x03,Physical,Hex,nan,nan,0x03
ECU_DRV_03 , STOP  FAN ON  5s동안 FAN Duty 50% 동작,0x2F,0xF013,nan,nan,Physical,Hex,nan,nan,0x00
ECU_DRV_04 , START  OFF 후  OFF 상태 유지,0x2F,0xF014,nan,0x03,Physical,Hex,nan,nan,0x03
ECU_DRV_04 , STOP  OFF 후  OFF 상태 유지,0x2F,0xF014,nan,nan,Physical,Hex,nan,nan,0x00
ECU_DRV_05 , START   10% DUTY 지속 출력,0x2F,0xF015,nan,0x03,Physical,Hex,nan,nan,0x03
ECU_DRV_05 , STOP  10% DUTY 지속 출력,0x2F,0xF015,nan,nan,Physical,Hex,nan,nan,0x00
ECU_DRV_06 , START  20% DUTY 지속 출력,0x2F,0xF016,nan,0x03,Physical,Hex,nan,nan,0x03
ECU_DRV_06 , STOP  20% DUTY 지속 출력,0x2F,0xF016,nan,nan,Physical,Hex,nan,nan,0x00
ECU_DRV_07 , START  30% DUTY 지속 출력,0x2F,0xF017,nan,0x03,Physical,Hex,nan,nan,0x03
ECU_DRV_07 , STOP  30% DUTY 지속 출력,0x2F,0xF017,nan,nan,Physical,Hex,nan,nan,0x00
ECU_DRV_08 , START  40% DUTY 지속 출력,0x2F,0xF018,nan,0x03,Physical,Hex,nan,nan,0x03
ECU_DRV_08 , STOP  40% DUTY 지속 출력,0x2F,0xF018,nan,nan,Physical,Hex,nan,nan,0x00
ECU_DRV_09 , START  50% DUTY 지속 출력,0x2F,0xF019,nan,0x03,Physical,Hex,nan,nan,0x03
ECU_DRV_09 , STOP  50% DUTY 지속 출력,0x2F,0xF019,nan,nan,Physical,Hex,nan,nan,0x00
ECU_DRV_10 , START  60% DUTY 지속 출력,0x2F,0xF01A,nan,0x03,Physical,Hex,nan,nan,0x03
ECU_DRV_10 , STOP  60% DUTY 지속 출력,0x2F,0xF01A,nan,nan,Physical,Hex,nan,nan,0x00
ECU_DRV_11 , START  70% DUTY 지속 출력,0x2F,0xF01B,nan,0x03,Physical,Hex,nan,nan,0x03
ECU_DRV_11 , STOP  70% DUTY 지속 출력,0x2F,0xF01B,nan,nan,Physical,Hex,nan,nan,0x00
ECU_DRV_12 , START  80% DUTY 지속 출력,0x2F,0xF01C,nan,0x03,Physical,Hex,nan,nan,0x03
ECU_DRV_12 , STOP  80% DUTY 지속 출력,0x2F,0xF01C,nan,nan,Physical,Hex,nan,nan,0x00
ECU_DRV_13 , START  90% DUTY 지속 출력,0x2F,0xF01D,nan,0x03,Physical,Hex,nan,nan,0x03
ECU_DRV_13 , STOP  90% DUTY 지속 출력,0x2F,0xF01D,nan,nan,Physical,Hex,nan,nan,0x00
ECU_DRV_14 , START  100% DUTY 지속 출력,0x2F,0xF01E,nan,0x03,Physical,Hex,nan,nan,0x03
ECU_DRV_14 , STOP  100% DUTY 지속 출력,0x2F,0xF01E,nan,nan,Physical,Hex,nan,nan,0x00
RD_DTC_01 , 0x02  ReportDTCByStatusMask 0xFF All DTC,0x19,0x02,nan,nan,Physical,Hex,0xFF,nan,nan
